No.,级别,词语,拼音,词性
402,二级,门票,ménpiào,名
403,二级（五级）,面1,miàn,后缀、（动、名、量）
404,二级,名,míng,名、量
405,二级,拿,ná,动
406,二级,那么,nàme,代、连
407,二级,那样,nàyàng,代
408,二级,奶茶,nǎichá,名
409,二级,奶奶,nǎinai,名
410,二级,男孩儿,nánháir,名
411,二级,鸟,niǎo,名
412,二级,女孩儿,nǚháir,名
413,二级,旁边,pángbiān,名
414,二级,跑,pǎo,动
415,二级,跑步,pǎobù,动
416,二级,票,piào,名
417,二级,妻子,qīzi,名
418,二级,起来,qǐlái,动
419,二级,前面,qiánmiàn,名
420,二级,晴,qíng,形
421,二级,球,qiú,名
422,二级（四级）,让,ràng,动、（介）
423,二级,肉,ròu,名
424,二级,商场,shāngchǎng,名
425,二级,上来,shànglái,动
426,二级,上面,shàngmiàn,名
427,二级,上去,shàngqù,动
428,二级,上网,shàngwǎng,动
429,二级,身体,shēntǐ,名
430,二级,生日,shēngrì,名
431,二级（六级）,时,shí,名、（量）
432,二级,事情,shìqing,名
433,二级,手,shǒu,名
434,二级,手表,shǒubiǎo,名
435,二级,书包,shūbāo,名
436,二级,舒服,shūfu,形
437,二级,送,sòng,动
438,二级,虽然,suīrán,连
439,二级,所以,suǒyǐ,连
440,二级（六级）,疼,téng,形、（动）
441,二级,踢,tī,动
442,二级,题,tí,名
443,二级（五级）,条,tiáo,量、（名）
444,二级,跳舞,tiàowǔ,动
445,二级（三级）（五级）,头,tóu,名、（量）、（形）
446,二级,外国,wàiguó,名
447,二级,外面,wàimiàn,名
448,二级,完,wán,动
449,二级,万,wàn,数
450,二级,往,wǎng,动、介
451,二级,网上,wǎngshang,名
452,二级,忘,wàng,动
453,二级,位,wèi,量
454,二级,为什么,wèi shénme,
455,二级,希望,xīwàng,动
456,二级,洗,xǐ,动
457,二级,洗手间,xǐshǒujiān,名
458,二级,下来,xiàlái,动
459,二级,下面,xiàmiàn,名
460,二级,下去,xiàqù,动
461,二级,小孩儿,xiǎoháir,名
462,二级,小时候,xiǎoshíhou,名
463,二级,笑,xiào,动
464,二级,姓,xìng,名、动
465,二级,姓名,xìngmíng,名
466,二级,颜色,yánsè,名
467,二级,眼睛,yǎnjing,名
468,二级,药,yào,名
469,二级,药店,yàodiàn,名
470,二级,爷爷,yéye,名
471,二级（三级）,一会儿,yíhuìr,数量、（副）
472,二级,已经,yǐjīng,副
473,二级,一起,yìqǐ,副
474,二级,意思,yìsi,名
475,二级,阴,yīn,形
476,二级,因为,yīnwèi,介、连
477,二级,游,yóu,动
478,二级,游泳,yóuyǒng,动
479,二级,有意思,yǒu yìsi,
480,二级,有时,yǒushí,副
481,二级,右,yòu,名
482,二级,右边,yòubian,名
483,二级,鱼,yú,名
484,二级,远,yuǎn,形
485,二级,运动,yùndòng,动、名
486,二级,站1,zhàn,名
487,二级,丈夫,zhàngfu,名
488,二级,这么,zhème,代
489,二级,这样,zhèyàng,代
490,二级,着,zhe,助
491,二级（五级）,正,zhèng,副、（形）
492,二级（六级）,周,zhōu,名、（量）
493,二级,准备,zhǔnbèi,动
494,二级,自己,zìjǐ,代
495,二级,走,zǒu,动
496,二级,走路,zǒulù,动
497,二级,足球,zúqiú,名
498,二级,最,zuì,副
499,二级,左,zuǒ,名
500,二级,左边,zuǒbian,名
501,三级,阿姨,āyí,名
502,三级,矮,ǎi,形
503,三级,爱人,àiren,名
504,三级,安静,ānjìng,形
505,三级,安全,ānquán,形
506,三级,把,bǎ,量、介
507,三级,搬,bān,动
508,三级,班级,bānjí,名
509,三级,搬家,bānjiā,动
510,三级,办,bàn,动
511,三级,办法,bànfǎ,名
512,三级,办公室,bàngōngshì,名
513,三级,半天,bàntiān,数量
514,三级,帮助,bāngzhù,动
515,三级,饱,bǎo,形
516,三级,报纸,bàozhǐ,名
517,三级,北,běi,名
518,三级,北方,běifāng,名
519,三级,被,bèi,介
520,三级,笔记,bǐjì,名
521,三级,比较,bǐjiào,动、介、副
522,三级,笔记本,bǐjìběn,名
523,三级,比如,bǐrú,动
524,三级,比赛,bǐsài,动、名
525,三级,必须,bìxū,副
526,三级,变,biàn,动
527,三级,遍,biàn,量
528,三级,变成,biànchéng,动
529,三级,变化,biànhuà,动、名
530,三级,表演,biǎoyǎn,动
531,三级,别的,biéde,代
532,三级,别人,biérén,代
533,三级,宾馆,bīnguǎn,名
534,三级（五级）,冰,bīng,名、（动）
535,三级,冰激凌,bīngjīlíng,名
536,三级,冰箱,bīngxiāng,名
537,三级,病人,bìngrén,名
538,三级,不但,búdàn,连
539,三级,不见,bújiàn,动
540,三级,不用,búyòng,副
541,三级,不同,bù tóng,
542,三级,不久,bùjiǔ,形
543,三级,不行,bùxíng,动、形
544,三级,才1,cái,副
545,三级,菜单,càidān,名
546,三级,参加,cānjiā,动
547,三级,草,cǎo,名
548,三级,草地,cǎodì,名
549,三级,层,céng,量
550,三级,查,chá,动
551,三级,差,chà,形、动
552,三级,差不多,chàbuduō,形、副
553,三级,尝,cháng,动
554,三级,常,cháng,副
555,三级,常见,cháng jiàn,
556,三级,常用,cháng yòng,
557,三级,常常,chángcháng,副
558,三级,衬衫,chènshān,名
559,三级,成绩,chéngjì,名
560,三级,城市,chéngshì,名
561,三级,迟到,chídào,动
562,三级,出发,chūfā,动
563,三级,出生,chūshēng,动
564,三级,出院,chūyuàn,动
565,三级,初中,chūzhōng,名
566,三级,除了,chúle,介
567,三级,船,chuán,名
568,三级,春天,chūntiān,名
569,三级,词典,cídiǎn,名
570,三级,聪明,cōngmíng,形
571,三级,打扫,dǎsǎo,动
572,三级,打算,dǎsuàn,动、名
573,三级（六级）,大概,dàgài,形、副、（名）
574,三级,大人,dàren,名
575,三级,大小,dàxiǎo,名
576,三级,大熊猫,dàxióngmāo,名
577,三级,大衣,dàyī,名
578,三级（五级）,带,dài,动、（名）
579,三级,担心,dānxīn,动
580,三级,蛋糕,dàngāo,名
581,三级,当然,dāngrán,副
582,三级,到处,dàochù,副
583,三级,得,dé,动
584,三级,得到,dédào,动
585,三级,得分,défēn,动、名
586,三级,的话,dehuà,助
587,三级,得,děi,动
588,三级,灯,dēng,名
589,三级,地,dì,名
590,三级,地点,dìdiǎn,名
591,三级,地方,dìfang,名
592,三级,地图,dìtú,名
593,三级（五级）,电,diàn,名、（动）
594,三级,电梯,diàntī,名
595,三级,电子书,diànzǐshū,名
596,三级,丢,diū,动
597,三级,东,dōng,名
598,三级,东北,dōngběi,名
599,三级,东方,dōngfāng,名
600,三级,东南,dōngnán,名
601,三级,冬天,dōngtiān,名
602,三级,懂得,dǒngde,动
603,三级,动物,dòngwù,名
604,三级,动物园,dòngwùyuán,名
605,三级,短,duǎn,形
606,三级,短裤,duǎnkù,名
607,三级,段,duàn,量
608,三级,锻炼,duànliàn,动
609,三级,对话,duìhuà,动
610,三级,饿,è,形
611,三级,而且,érqiě,连
612,三级,耳朵,ěrduo,名
613,三级,耳机,ěrjī,名
614,三级,发,fā,动
615,三级,发烧,fāshāo,动
616,三级,发生,fāshēng,动
617,三级,发现,fāxiàn,动
618,三级,发展,fāzhǎn,动
619,三级,方便,fāngbiàn,形
620,三级,方便面,fāngbiànmiàn,名
621,三级,方法,fāngfǎ,名
622,三级,方向,fāngxiàng,名
623,三级,房子,fángzi,名
624,三级,放,fàng,动
625,三级,放假,fàngjià,动
626,三级,放心,fàngxīn,动
627,三级,放学,fàngxué,动
628,三级,分开,fēnkāi,动
629,三级,风,fēng,名
630,三级（六级）,封,fēng,量、（动）
631,三级,夫妻,fūqī,名
632,三级,服务,fúwù,动
633,三级,附近,fùjìn,名
634,三级,复习,fùxí,动
635,三级,该1,gāi,动
636,三级,干净,gānjìng,形
637,三级,感兴趣,gǎn xìngqù,
638,三级,感到,gǎndào,动
639,三级,感冒,gǎnmào,名、动
640,三级,干,gàn,动
641,三级,刚,gāng,副
642,三级,刚才,gāngcái,名
643,三级,刚刚,gānggāng,副
644,三级,高铁,gāotiě,名
645,三级（五级）,根据,gēnjù,动、介、（名）
646,三级,更,gèng,副
647,三级,公斤,gōngjīn,量
648,三级,公园,gōngyuán,名
649,三级,工作日,gōngzuòrì,名
650,三级,故事,gùshi,名
651,三级,刮,guā,动
652,三级（五级）,关,guān,动、（名）
653,三级,关机,guānjī,动
654,三级（四级）,关系,guānxì,名、（动）
655,三级,关心,guānxīn,动
656,三级,关于,guānyú,介
657,三级,关注,guānzhù,动
658,三级,国家,guójiā,名
659,三级,过节,guòjié,动
660,三级,过去2,guòqù,名
661,三级,海,hǎi,名
662,三级,害怕,hàipà,动
663,三级,好多,hǎoduō,数
664,三级,好久,hǎojiǔ,形
665,三级,好像,hǎoxiàng,动、副
666,三级,号码,hàomǎ,名
667,三级,河,hé,名
668,三级,合适,héshì,形
669,三级,黑板,hēibǎn,名
670,三级,红绿灯,hóng-lǜdēng,名
671,三级,后来,hòulái,名
672,三级,后年,hòunián,名
673,三级,后天,hòutiān,名
674,三级,护照,hùzhào,名
675,三级,花园,huāyuán,名
676,三级,画家,huàjiā,名
677,三级,欢迎,huānyíng,动
678,三级,还,huán,动
679,三级,环境,huánjìng,名
680,三级,换,huàn,动
681,三级,黄色,huángsè,名
682,三级,回答,huídá,动
683,三级,会2,huì,名
684,三级,会议,huìyì,名
685,三级（六级）,或,huò,连、（副）
686,三级,或者,huòzhě,连
687,三级,鸡,jī,名
688,三级,几乎,jīhū,副
689,三级,机会,jīhuì,名
690,三级,极,jí,副
691,三级,急,jí,形、动
692,三级,记,jì,动
693,三级,季,jì,名
694,三级,季节,jìjié,名
695,三级,加,jiā,动
696,三级,假期,jiàqī,名
697,三级,坚持,jiānchí,动
698,三级,检查,jiǎnchá,动
699,三级,简单,jiǎndān,形
700,三级,检票,jiǎnpiào,动
701,三级,健康,jiànkāng,形
702,三级,见面,jiànmiàn,动
703,三级,讲,jiǎng,动
704,三级,角,jiǎo,量
705,三级,脚,jiǎo,名
706,三级,接,jiē,动
707,三级,街,jiē,名
708,三级（四级）,节,jié,量、名、（动）
709,三级,结婚,jiéhūn,动
710,三级,节目,jiémù,名
711,三级,节日,jiérì,名
712,三级,结束,jiéshù,动
713,三级,解决,jiějué,动
714,三级,姐妹,jiěmèi,名
715,三级,借,jiè,动
716,三级,斤,jīn,量
717,三级,经过,jīngguò,动、名
718,三级,经理,jīnglǐ,名
719,三级,久,jiǔ,形
720,三级,酒,jiǔ,名
721,三级,旧,jiù,形
722,三级,句,jù,量
723,三级,句子,jùzi,名
724,三级,决定,juédìng,动、名
725,三级,卡,kǎ,名
726,三级,开花,kāihuā,动
727,三级,开会,kāihuì,动
728,三级,开机,kāijī,动
729,三级,开心,kāixīn,形
730,三级,看来,kànlái,动
731,三级（五级）,可,kě,连、（副）
732,三级,渴,kě,形
733,三级,可爱,kě’ài,形
734,三级,可是,kěshì,连
735,三级（五级）,刻,kè,量、（动）
736,三级,课本,kèběn,名
737,三级,客人,kèrén,名
738,三级,课文,kèwén,名
739,三级,空调,kōngtiáo,名
740,三级,哭,kū,动
741,三级,筷子,kuàizi,名
742,三级,矿泉水,kuàngquánshuǐ,名
743,三级,来自,láizì,动
744,三级,蓝,lán,形
745,三级（四级）,老,lǎo,形、前缀、（副）
746,三级,老人,lǎorén,名
747,三级,离开,líkāi,动
748,三级,礼物,lǐwù,名
749,三级,历史,lìshǐ,名
750,三级,脸,liǎn,名
751,三级,练,liàn,动
752,三级,练习,liànxí,动、名
753,三级,凉快,liángkuai,形
754,三级,辆,liàng,量
755,三级,聊,liáo,动
756,三级,聊天儿,liáotiānr,动
757,三级,了解,liǎojiě,动
758,三级,邻居,línjū,名
759,三级,留学,liúxué,动
760,三级,留学生,liúxuéshēng,名
761,三级,楼梯,lóutī,名
762,三级,路边,lùbiān,名
763,三级,路口,lùkǒu,名
764,三级,马,mǎ,名
765,三级,马路,mǎlù,名
766,三级,马上,mǎshàng,副
767,三级,满意,mǎnyì,动
768,三级（五级）,毛,máo,量、（名）
769,三级,米,mǐ,量
770,三级,面前,miànqián,名
771,三级,明白,míngbai,形、动
772,三级,名单,míngdān,名
773,三级,名人,míngrén,名
774,三级,南,nán,名
775,三级（六级）,难,nán,形、（动）
776,三级,南方,nánfāng,名
777,三级,难过,nánguò,形
778,三级,难看,nánkàn,形
779,三级,男人,nánrén,名
780,三级,男生,nánshēng,名
781,三级,难题,nántí,名
782,三级,难听,nántīng,形
783,三级,年级,niánjí,名
784,三级,年轻,niánqīng,形
785,三级（五级）,牛,niú,名、（形）
786,三级,努力,nǔlì,动、形
787,三级,女人,nǚrén,名
788,三级,女生,nǚshēng,名
789,三级,爬,pá,动
790,三级（四级）,怕,pà,动、（副）
791,三级,拍照,pāizhào,动
792,三级,盘子,pánzi,名
793,三级,胖,pàng,形
794,三级,啤酒,píjiǔ,名
795,三级,平时,píngshí,名
796,三级,瓶子,píngzi,名
797,三级,骑,qí,动
798,三级,奇怪,qíguài,形
799,三级,其实,qíshí,副
800,三级,其他,qítā,代
801,三级（五级）,起,qǐ,动、（量）
802,三级,起飞,qǐfēi,动
803,三级,汽车,qìchē,名
804,三级,铅笔,qiānbǐ,名
805,三级,前年,qiánnián,名
806,三级,前天,qiántiān,名
807,三级,清楚,qīngchu,形、动
808,三级,请假,qǐngjià,动
809,三级,请客,qǐngkè,动
810,三级,秋天,qiūtiān,名
811,三级,球场,qiúchǎng,名
812,三级,裙子,qúnzi,名
813,三级,然后,ránhòu,连
814,三级,热情,rèqíng,形
815,三级,认得,rènde,动
816,三级,认为,rènwéi,动
817,三级,认真,rènzhēn,形
818,三级,容易,róngyì,形
819,三级,如果,rúguǒ,连
820,三级,伞,sǎn,名
821,三级,扫,sǎo,动
822,三级,沙发,shāfā,名
823,三级,山,shān,名
824,三级,上衣,shàngyī,名
825,三级,勺子,sháozi,名
826,三级,身边,shēnbiān,名
827,三级,身高,shēngāo,名
828,三级,声,shēng,名、量
829,三级,生活,shēnghuó,名、动
830,三级,生气,shēngqì,动
831,三级,声音,shēngyīn,名
832,三级,市,shì,名
833,三级,试,shì,动
834,三级,室,shì,名
835,三级,世界,shìjiè,名
836,三级,收,shōu,动
837,三级,收到,shōudào,动
838,三级,受,shòu,动
839,三级,瘦,shòu,形
840,三级,受到,shòudào,动
841,三级,叔叔,shūshu,名
842,三级,树,shù,名
843,三级,数学,shùxué,名
844,三级,刷,shuā,动
845,三级,双,shuāng,量
846,三级,水平,shuǐpíng,名
847,三级,司机,sījī,名
848,三级,四季,sìjì,名
849,三级,太阳,tàiyáng,名
850,三级,糖,táng,名
851,三级,特别,tèbié,形、副
852,三级,提高,tígāo,动
853,三级,体育,tǐyù,名
854,三级,体育馆,tǐyùguǎn,名
855,三级,甜,tián,形
856,三级,跳,tiào,动
857,三级,听说,tīngshuō,动
858,三级（七-九级）,挺,tǐng,副、（动）
859,三级,同事,tóngshì,名
860,三级,同意,tóngyì,动
861,三级,头发,tóufa,名
862,三级,突然,tūrán,形
863,三级,图书馆,túshūguǎn,名
864,三级,腿,tuǐ,名
865,三级,外地,wàidì,名
