No.,级别,汉字
395,四级,专
396,四级,转
397,四级,装
398,四级,资
399,四级,组
400,四级,座
401,五级,版
402,五级,扮
403,五级,伴
404,五级,宝
405,五级,贝
406,五级,币
407,五级,闭
408,五级,补
409,五级,布
410,五级,采
411,五级,册
412,五级,测
413,五级,叉
414,五级,吵
415,五级,沉
416,五级,称
417,五级,承
418,五级,尺
419,五级,冲
420,五级,充
421,五级,虫
422,五级,抽
423,五级,丑
424,五级,臭
425,五级,传
426,五级,创
427,五级,代
428,五级,胆
429,五级,旦
430,五级,挡
431,五级,敌
432,五级,冻
433,五级,斗
434,五级,豆
435,五级,独
436,五级,吨
437,五级,范
438,五级,防
439,五级,访
440,五级,疯
441,五级,佛
442,五级,府
443,五级,妇
444,五级,搞
445,五级,贡
446,五级,构
447,五级,古
448,五级,柜
449,五级,哈
450,五级,含
451,五级,胡
452,五级,湖
453,五级,华
454,五级,挥
455,五级,挤
456,五级,甲
457,五级,架
458,五级,艰
459,五级,局
460,五级,巨
461,五级,军
462,五级,均
463,五级,靠
464,五级,宽
465,五级,亏
466,五级,括
467,五级,劳
468,五级,泪
469,五级,类
470,五级,立
471,五级,良
472,五级,疗
473,五级,烈
474,五级,领
475,五级,令
476,五级,龙
477,五级,陆
478,五级,录
479,五级,骂
480,五级,秘
481,五级,某
482,五级,念
483,五级,派
484,五级,配
485,五级,盆
486,五级,碰
487,五级,匹
488,五级,拼
489,五级,齐
490,五级,欠
491,五级,曲
492,五级,权
493,五级,劝
494,五级,忍
495,五级,晒
496,五级,舍
497,五级,设
498,五级,神
499,五级,升
500,五级,胜
501,五级,诗
502,五级,石
503,五级,似
504,五级,势
505,五级,守
506,五级,私
507,五级,素
508,五级,宿
509,五级,挑
510,五级,团
511,五级,退
512,五级,拖
513,五级,伟
514,五级,未
515,五级,胃
516,五级,武
517,五级,夕
518,五级,析
519,五级,席
520,五级,闲
521,五级,显
522,五级,县
523,五级,形
524,五级,宣
525,五级,寻
526,五级,训
527,五级,咬
528,五级,依
529,五级,乙
530,五级,亿
531,五级,义
532,五级,益
533,五级,映
534,五级,余
535,五级,玉
536,五级,圆
537,五级,载
538,五级,造
539,五级,占
540,五级,召
541,五级,政
542,五级,织
543,五级,制
544,五级,治
545,五级,致
546,五级,猪
547,五级,竹
548,五级,抓
549,五级,状
550,五级,追
551,六级,岸
552,六级,昂
553,六级,拔
554,六级,摆
555,六级,悲
556,六级,奔
557,六级,编
558,六级,兵
559,六级,财
560,六级,仓
561,六级,侧
562,六级,策
563,六级,肠
564,六级,畅
565,六级,抄
566,六级,臣
567,六级,尘
568,六级,呈
569,六级,愁
570,六级,串
571,六级,闯
572,六级,纯
573,六级,匆
574,六级,寸
575,六级,呆
576,六级,诞
577,六级,岛
578,六级,德
579,六级,抵
580,六级,吊
581,六级,顶
582,六级,夺
583,六级,恶
584,六级,帆
585,六级,凡
586,六级,犯
587,六级,妨
588,六级,肺
589,六级,氛
590,六级,奉
591,六级,辅
592,六级,肝
593,六级,岗
594,六级,攻
595,六级,巩
596,六级,孤
597,六级,股
598,六级,骨
599,六级,拐
600,六级,官
601,六级,贯
602,六级,归
603,六级,龟
604,六级,轨
605,六级,罕
606,六级,旱
607,六级,恨
608,六级,宏
609,六级,幻
610,六级,皇
611,六级,击
612,六级,饥
613,六级,吉
614,六级,夹
615,六级,尖
616,六级,肩
617,六级,杰
618,六级,戒
619,六级,劲
620,六级,井
621,六级,径
622,六级,纠
623,六级,刊
624,六级,抗
625,六级,夸
626,六级,兰
627,六级,拦
628,六级,牢
629,六级,雷
630,六级,劣
631,六级,轮
632,六级,迈
633,六级,麦
634,六级,盲
635,六级,贸
636,六级,妙
637,六级,灭
638,六级,纳
639,六级,泥
640,六级,拟
641,六级,扭
642,六级,盼
643,六级,抛
644,六级,泡
645,六级,佩
646,六级,披
647,六级,贫
648,六级,坡
649,六级,迫
650,六级,扑
651,六级,朴
652,六级,启
653,六级,枪
654,六级,瞧
655,六级,圈
656,六级,券
657,六级,丧
658,六级,杀
659,六级,闪
660,六级,尚
661,六级,舌
662,六级,审
663,六级,寿
664,六级,汰
665,六级,坛
666,六级,吐
667,六级,吞
668,六级,托
669,六级,亡
670,六级,委
671,六级,谓
672,六级,沃
673,六级,乌
674,六级,吓
675,六级,雄
676,六级,旬
677,六级,讯
678,六级,讶
679,六级,炎
680,六级,央
681,六级,仰
682,六级,仪
683,六级,异
684,六级,抑
685,六级,英
686,六级,忧
687,六级,予
688,六级,晕
689,六级,匀
690,六级,孕
691,六级,灾
692,六级,扎
693,六级,宅
694,六级,仗
695,六级,枝
696,六级,肿
697,六级,州
698,六级,妆
699,六级,庄
700,六级,壮
701,七-九级,挨
702,七-九级,癌
703,七-九级,疤
704,七-九级,坝
705,七-九级,罢
706,七-九级,掰
707,七-九级,扳
708,七-九级,颁
709,七-九级,拌
710,七-九级,绊
711,七-九级,绑
712,七-九级,磅
713,七-九级,煲
714,七-九级,卑
715,七-九级,碑
716,七-九级,绷
717,七-九级,蹦
718,七-九级,弊
719,七-九级,贬
720,七-九级,扁
721,七-九级,辨
722,七-九级,辩
723,七-九级,憋
724,七-九级,丙
725,七-九级,波
726,七-九级,剥
727,七-九级,伯
728,七-九级,勃
729,七-九级,搏
730,七-九级,卜
731,七-九级,怖
732,七-九级,惨
733,七-九级,灿
734,七-九级,蹭
735,七-九级,岔
736,七-九级,掺
737,七-九级,搀
738,七-九级,馋
739,七-九级,缠
740,七-九级,铲
741,七-九级,阐
742,七-九级,昌
743,七-九级,扯
744,七-九级,陈
745,七-九级,秤
746,七-九级,痴
747,七-九级,耻
748,七-九级,赤
749,七-九级,仇
750,七-九级,绸
751,七-九级,畴
752,七-九级,酬
753,七-九级,稠
754,七-九级,瞅
755,七-九级,锄
756,七-九级,揣
757,七-九级,踹
758,七-九级,喘
759,七-九级,幢
760,七-九级,捶
761,七-九级,锤
762,七-九级,蠢
763,七-九级,戳
764,七-九级,慈
765,七-九级,赐
766,七-九级,葱
767,七-九级,丛
768,七-九级,凑
769,七-九级,窜
770,七-九级,粹
771,七-九级,搓
772,七-九级,逮
773,七-九级,党
774,七-九级,荡
775,七-九级,盗
776,七-九级,蹬
777,七-九级,瞪
778,七-九级,堤
779,七-九级,颠
780,七-九级,垫
781,七-九级,淀
782,七-九级,奠
783,七-九级,叼
784,七-九级,雕
785,七-九级,爹
786,七-九级,叠
787,七-九级,碟
788,七-九级,丁
789,七-九级,盯
790,七-九级,钉
791,七-九级,董
792,七-九级,兜
793,七-九级,抖
794,七-九级,陡
795,七-九级,赌
796,七-九级,妒
797,七-九级,兑
798,七-九级,炖
799,七-九级,鹅
800,七-九级,遏
801,七-九级,恩
802,七-九级,伐
803,七-九级,废
804,七-九级,沸
805,七-九级,坟
806,七-九级,粪
807,七-九级,锋
808,七-九级,逢
809,七-九级,凤
810,七-九级,缝
811,七-九级,敷
812,七-九级,伏
813,七-九级,辐
814,七-九级,抚
815,七-九级,赴
816,七-九级,腹
817,七-九级,钙
818,七-九级,甘
819,七-九级,杆
820,七-九级,纲
821,七-九级,缸
822,七-九级,搁
823,七-九级,耕
824,七-九级,弓
825,七-九级,拱
826,七-九级,勾
827,七-九级,钩
828,七-九级,谷
829,七-九级,雇
830,七-九级,乖
831,七-九级,灌
832,七-九级,鬼
833,七-九级,函
834,七-九级,撼
835,七-九级,呵
836,七-九级,禾
837,七-九级,哼
838,七-九级,恒
839,七-九级,轰
840,七-九级,哄
841,七-九级,烘
842,七-九级,弘
843,七-九级,吼
844,七-九级,唤
845,七-九级,焕
846,七-九级,荒
847,七-九级,慌
848,七-九级,凰
849,七-九级,煌
850,七-九级,晃
851,七-九级,谎
852,七-九级,辉
853,七-九级,毁
854,七-九级,昏
855,七-九级,荤
856,七-九级,魂
857,七-九级,豁
858,七-九级,稽
859,七-九级,忌
860,七-九级,剂
861,七-九级,祭
862,七-九级,暨
863,七-九级,煎
864,七-九级,拣
865,七-九级,俭
866,七-九级,贱
867,七-九级,溅
868,七-九级,姜
869,七-九级,僵
870,七-九级,桨
871,七-九级,匠
872,七-九级,绞
873,七-九级,搅
874,七-九级,缴
875,七-九级,皆
876,七-九级,揭
877,七-九级,劫
878,七-九级,竭
879,七-九级,筋
880,七-九级,茎
881,七-九级,晶
882,七-九级,鲸
883,七-九级,揪
884,七-九级,倔
885,七-九级,掘
886,七-九级,崛
887,七-九级,嚼
888,七-九级,俊
889,七-九级,峻
890,七-九级,慨
891,七-九级,堪
892,七-九级,侃
893,七-九级,槛
894,七-九级,扛
895,七-九级,磕
896,七-九级,壳
897,七-九级,恳
898,七-九级,啃
899,七-九级,坑
900,七-九级,孔
901,七-九级,抠
902,七-九级,垮
903,七-九级,挎
904,七-九级,跨
905,七-九级,筐
906,七-九级,框
907,七-九级,愧
908,七-九级,捆
909,七-九级,蜡
910,七-九级,揽
911,七-九级,捞
912,七-九级,涝
913,七-九级,勒
914,七-九级,愣
915,七-九级,廉
916,七-九级,咧
917,七-九级,猎
918,七-九级,裂
919,七-九级,拎
920,七-九级,赁
921,七-九级,聆
922,七-九级,溜
923,七-九级,瘤
924,七-九级,遛
925,七-九级,聋
926,七-九级,隆
927,七-九级,搂
928,七-九级,陋
929,七-九级,鹿
930,七-九级,卵
931,七-九级,抡
932,七-九级,萝
933,七-九级,裸
934,七-九级,屡
935,七-九级,缕
936,七-九级,脉
937,七-九级,瞒
938,七-九级,蔓
939,七-九级,茫
940,七-九级,枚
941,七-九级,昧
942,七-九级,闷
943,七-九级,蒙
944,七-九级,盟
945,七-九级,猛
946,七-九级,眯
947,七-九级,谜
948,七-九级,泌
949,七-九级,苗
950,七-九级,庙
951,七-九级,蔑
952,七-九级,鸣
953,七-九级,膜
954,七-九级,磨
955,七-九级,魔
956,七-九级,抹
957,七-九级,莫
958,七-九级,墨
959,七-九级,谋
960,七-九级,亩
961,七-九级,牧
962,七-九级,募
963,七-九级,墓
964,七-九级,乃
965,七-九级,挠
966,七-九级,嫩
967,七-九级,逆
968,七-九级,腻
969,七-九级,黏
970,七-九级,撵
971,七-九级,尿
972,七-九级,捏
973,七-九级,宁
974,七-九级,凝
975,七-九级,纽
976,七-九级,钮
977,七-九级,挪
978,七-九级,趴
979,七-九级,攀
980,七-九级,畔
981,七-九级,刨
982,七-九级,炮
983,七-九级,烹
984,七-九级,棚
985,七-九级,蓬
986,七-九级,劈
987,七-九级,辟
988,七-九级,偏
989,七-九级,泊
990,七-九级,颇
991,七-九级,魄
992,七-九级,谱
993,七-九级,曝
994,七-九级,沏
995,七-九级,漆
996,七-九级,乞
997,七-九级,契
998,七-九级,掐
999,七-九级,迁
1000,七-九级,呛
1001,七-九级,翘
1002,七-九级,撬
1003,七-九级,侵
1004,七-九级,擎
1005,七-九级,驱
1006,七-九级,诠
1007,七-九级,拳
1008,七-九级,瘸
1009,七-九级,嚷
1010,七-九级,饶
1011,七-九级,惹
1012,七-九级,仁
1013,七-九级,饪
1014,七-九级,揉
1015,七-九级,若
1016,七-九级,桑
1017,七-九级,骚
1018,七-九级,纱
1019,七-九级,捎
1020,七-九级,哨
1021,七-九级,肾
1022,七-九级,渗
1023,七-九级,牲
1024,七-九级,圣
1025,七-九级,屎
1026,七-九级,逝
1027,七-九级,梳
1028,七-九级,疏
1029,七-九级,赎
1030,七-九级,署
1031,七-九级,墅
1032,七-九级,耍
1033,七-九级,甩
1034,七-九级,拴
1035,七-九级,涮
1036,七-九级,霜
1037,七-九级,爽
1038,七-九级,丝
1039,七-九级,撕
1040,七-九级,寺
1041,七-九级,肆
1042,七-九级,耸
1043,七-九级,讼
1044,七-九级,苏
1045,七-九级,酥
1046,七-九级,蒜
1047,七-九级,塌
1048,七-九级,拓
1049,七-九级,胎
1050,七-九级,贪
1051,七-九级,摊
1052,七-九级,滩
1053,七-九级,瘫
1054,七-九级,痰
1055,七-九级,坦
1056,七-九级,叹
1057,七-九级,炭
1058,七-九级,淌
1059,七-九级,陶
1060,七-九级,腾
1061,七-九级,剃
1062,七-九级,舔
1063,七-九级,捅
1064,七-九级,凸
1065,七-九级,秃
1066,七-九级,涂
1067,七-九级,臀
1068,七-九级,驮
1069,七-九级,妥
1070,七-九级,瓦
1071,七-九级,丸
1072,七-九级,挽
1073,七-九级,旺
1074,七-九级,伪
1075,七-九级,畏
1076,七-九级,纹
1077,七-九级,吻
1078,七-九级,窝
1079,七-九级,捂
1080,七-九级,勿
1081,七-九级,悟
1082,七-九级,牺
1083,七-九级,稀
1084,七-九级,溪
1085,七-九级,袭
1086,七-九级,虾
1087,七-九级,瞎
1088,七-九级,峡
1089,七-九级,狭
1090,七-九级,辖
1091,七-九级,仙
1092,七-九级,纤
1093,七-九级,掀
1094,七-九级,弦
1095,七-九级,衔
1096,七-九级,宪
1097,七-九级,镶
1098,七-九级,巷
1099,七-九级,邪
1100,七-九级,泄
1101,七-九级,泻
1102,七-九级,卸
1103,七-九级,懈
1104,七-九级,馨
1105,七-九级,腥
1106,七-九级,刑
1107,七-九级,凶
1108,七-九级,绣
1109,七-九级,锈
1110,七-九级,嗅
1111,七-九级,吁
1112,七-九级,玄
1113,七-九级,悬
1114,七-九级,削
1115,七-九级,穴
1116,七-九级,熏
1117,七-九级,巡
1118,七-九级,驯
1119,七-九级,芽
1120,七-九级,涯
1121,七-九级,哑
1122,七-九级,雅
1123,七-九级,衍
1124,七-九级,掩
1125,七-九级,咽
1126,七-九级,窑
1127,七-九级,耀
1128,七-九级,矣
1129,七-九级,倚
1130,七-九级,亦
1131,七-九级,役
1132,七-九级,绎
1133,七-九级,溢
1134,七-九级,翼
1135,七-九级,瘾
1136,七-九级,鹰
1137,七-九级,盈
1138,七-九级,庸
1139,七-九级,诱
1140,七-九级,愚
1141,七-九级,舆
1142,七-九级,屿
1143,七-九级,宇
1144,七-九级,郁
1145,七-九级,御
1146,七-九级,愈
1147,七-九级,冤
1148,七-九级,缘
1149,七-九级,曰
1150,七-九级,悦
1151,七-九级,蕴
1152,七-九级,熨
1153,七-九级,砸
1154,七-九级,栽
1155,七-九级,宰
1156,七-九级,攒
1157,七-九级,葬
1158,七-九级,凿
1159,七-九级,枣
1160,七-九级,灶
1161,七-九级,躁
1162,七-九级,贼
1163,七-九级,渣
1164,七-九级,闸
1165,七-九级,诈
1166,七-九级,榨
1167,七-九级,债
1168,七-九级,沾
1169,七-九级,斩
1170,七-九级,盏
1171,七-九级,绽
1172,七-九级,蘸
1173,七-九级,彰
1174,七-九级,胀
1175,七-九级,罩
1176,七-九级,遮
1177,七-九级,振
1178,七-九级,蒸
1179,七-九级,旨
1180,七-九级,帜
1181,七-九级,滞
1182,七-九级,忠
1183,七-九级,衷
1184,七-九级,宙
1185,七-九级,皱
1186,七-九级,烛
1187,七-九级,拄
1188,七-九级,嘱
1189,七-九级,驻
1190,七-九级,拽
1191,七-九级,撰
1192,七-九级,桩
1193,七-九级,坠
1194,七-九级,卓
1195,七-九级,兹
1196,七-九级,滋
1197,七-九级,籽
1198,七-九级,宗
1199,七-九级,纵
1200,七-九级,揍
